"Name","State","Notes","User","Tags","Created","Runtime","Sweep","dropout","eval_batch_size","learning_rate","model_name","model_type","num_train_epochs","train_batch_size","wandb_project"
"magic-valley-2","running","-","","","2024-05-17T06:56:15.000Z","3211","","0.3","16","0.00005","roberta-base","roberta","3","16","MedQuad_QA_RoBERTa"
"playful-planet-1","finished","-","","","2024-05-16T17:46:01.000Z","8378","","0.3","16","0.00005","roberta-base","roberta","3","16","MedQuad_QA_RoBERTa"
